date,carry_ret
1979-01-31,0.007682651803012743
1979-02-28,0.02275958729678564
1979-03-31,0.01338867378431809
1979-04-30,-0.0037467359169292085
1979-05-31,-0.003793765140056972
1979-06-30,0.00896856148185013
1979-07-31,0.0030033000356949097
1979-08-31,-0.01703483106636558
1979-09-30,-0.022871320609337328
1979-10-31,0.025167426553802073
1979-11-30,0.0011558783812463864
1979-12-31,0.008843396163532089
1980-01-31,0.0089330989793723
1980-02-29,0.011263780706659308
1980-03-31,-0.0008629643461834172
1980-04-30,0.0037021709030890895
1980-05-31,0.005542070089331543
1980-06-30,0.002292506881312049
1980-07-31,0.0124671218044382
1980-08-31,0.00798240265959719
1980-09-30,0.0020598302604637278
1980-10-31,-0.00336626231233729
1980-11-30,0.013223692094470762
1980-12-31,0.020962826440706815
1981-01-31,0.018907751098218163
1981-02-28,-0.0073348266734306064
1981-03-31,0.010806552559995523
1981-04-30,0.029909953888717852
1981-05-31,0.052990234156747404
1981-06-30,0.0216782632240404
1981-07-31,0.011465248598038899
1981-08-31,-0.00020524541062115435
1981-09-30,-0.0044026953433324
1981-10-31,0.014181025229408064
1981-11-30,-0.0033169651623243496
1981-12-31,-0.005602456018806473
1982-01-31,-0.007293856172766826
1982-02-28,0.005456366722363173
1982-03-31,0.0024853916903333517
1982-04-30,-0.002752326738989849
1982-05-31,-0.0017055969786726947
1982-06-30,-0.00449652629809908
1982-07-31,-0.013780364350842051
1982-08-31,-0.006182831810245429
1982-09-30,-0.01757378554630134
1982-10-31,0.03990104086244857
1982-11-30,0.017993200484437016
1982-12-31,0.00583351581105731
1983-01-31,0.004940103439705441
1983-02-28,-0.05218304972478251
1983-03-31,-0.00575918061355827
1983-04-30,0.0009192523825653313
1983-05-31,0.004730966834469832
1983-06-30,0.0047422175676231785
1983-07-31,0.00046512073828660066
1983-08-31,0.020090181589765714
1983-09-30,0.005697394897358883
1983-10-31,-0.0010493389269620188
1983-11-30,-0.00666232962750953
1983-12-31,-0.011075106601448073
1984-01-31,0.015148058686420806
1984-02-29,0.016981155707242485
1984-03-31,-0.006442631672820556
1984-04-30,-0.0032065895085914412
1984-05-31,-0.01554153804648136
1984-06-30,-0.08923039087078355
1984-07-31,0.004075483434891689
1984-08-31,-0.015357760281768775
1984-09-30,0.0020318685842262312
1984-10-31,-0.007187884675838159
1984-11-30,-0.004442072952465465
1984-12-31,0.0016698454449261438
1985-01-31,-0.043332598636652626
1985-02-28,0.003837619951034889
1985-03-31,-0.028234023486664685
1985-04-30,0.007898813266425114
1985-05-31,0.029212849228572365
1985-06-30,0.054659621713682174
1985-07-31,0.013690296696277257
